customer_id,signup_date,acquisition_channel,region
C02290,2025-01-01,Social,South
C02135,2025-01-01,Paid Search,Central
C01510,2025-01-01,Paid Search,Central
C00456,2025-01-01,Paid Search,East
C03744,2025-01-01,Paid Search,East
C00980,2025-01-01,Email,Central
C03696,2025-01-01,Paid Search,East
C00738,2025-01-01,Email,West
C01946,2025-01-02,Social,North
C00219,2025-01-02,Affiliate,North
C03697,2025-01-02,Organic,North
C01050,2025-01-02,Email,North
C03056,2025-01-02,Affiliate,North
C00791,2025-01-02,Social,South
C03631,2025-01-02,Email,East
C03161,2025-01-02,Paid Search,West
C01792,2025-01-02,Email,Central
C01203,2025-01-02,Paid Search,North
C01294,2025-01-02,Organic,North
C02005,2025-01-02,Affiliate,West
C01098,2025-01-02,Social,South
C00211,2025-01-02,Email,West
C01988,2025-01-03,Email,South
C04000,2025-01-03,Paid Search,East
C03713,2025-01-03,Paid Search,East
C02909,2025-01-03,Social,East
C03647,2025-01-03,Email,South
C00429,2025-01-03,Paid Search,South
C03493,2025-01-03,Email,West
C00172,2025-01-03,Affiliate,West
C00908,2025-01-03,Paid Search,South
C03011,2025-01-03,Paid Search,West
C02862,2025-01-03,Paid Search,Central
C02327,2025-01-03,Social,North
C00196,2025-01-03,Organic,East
C02361,2025-01-03,Paid Search,East
C02172,2025-01-03,Organic,North
C02444,2025-01-03,Organic,West
C00648,2025-01-03,Organic,Central
C00244,2025-01-03,Organic,West
C01330,2025-01-04,Organic,Central
C03144,2025-01-04,Paid Search,Central
C03110,2025-01-04,Organic,Central
C03244,2025-01-04,Organic,East
C01660,2025-01-04,Social,East
C02577,2025-01-04,Affiliate,West
C02237,2025-01-04,Paid Search,North
C03922,2025-01-04,Organic,East
C00609,2025-01-04,Organic,Central
C03053,2025-01-04,Social,North
C03044,2025-01-04,Paid Search,North
C01033,2025-01-04,Organic,North
C02199,2025-01-04,Organic,Central
C03487,2025-01-04,Social,East
C00296,2025-01-04,Social,South
C01362,2025-01-04,Organic,South
C02334,2025-01-05,Affiliate,East
C03763,2025-01-05,Paid Search,West
C00503,2025-01-05,Email,South
C03638,2025-01-05,Paid Search,West
C03877,2025-01-05,Social,South
C03288,2025-01-06,Paid Search,West
C00338,2025-01-06,Social,South
C03973,2025-01-06,Organic,East
C01632,2025-01-06,Paid Search,East
C02899,2025-01-06,Email,South
C01115,2025-01-06,Social,Central
C03084,2025-01-06,Social,Central
C00443,2025-01-06,Affiliate,South
C02312,2025-01-06,Affiliate,North
C01029,2025-01-06,Paid Search,East
C03155,2025-01-07,Social,North
C00187,2025-01-07,Email,Central
C02076,2025-01-07,Email,West
C02731,2025-01-07,Affiliate,East
C00400,2025-01-07,Paid Search,West
C02222,2025-01-07,Email,North
C01663,2025-01-07,Paid Search,East
C03106,2025-01-07,Email,Central
C03235,2025-01-07,Paid Search,West
C02875,2025-01-07,Organic,Central
C01436,2025-01-07,Paid Search,East
C00151,2025-01-07,Email,Central
C02415,2025-01-07,Organic,West
C00881,2025-01-08,Organic,South
C03422,2025-01-08,Affiliate,East
C02667,2025-01-08,Email,North
C00336,2025-01-08,Organic,West
C02310,2025-01-08,Paid Search,West
C01049,2025-01-08,Social,Central
C02740,2025-01-08,Affiliate,North
C01893,2025-01-08,Organic,East
C01018,2025-01-08,Email,Central
C02041,2025-01-09,Paid Search,East
C00155,2025-01-09,Organic,North
C02609,2025-01-09,Social,West
C02860,2025-01-09,Organic,East
C03246,2025-01-09,Social,Central
C03281,2025-01-09,Affiliate,West
C00708,2025-01-09,Affiliate,North
C00477,2025-01-09,Social,North
C02840,2025-01-09,Social,East
C03377,2025-01-09,Paid Search,East
C03236,2025-01-09,Organic,West
C02526,2025-01-09,Affiliate,South
C03421,2025-01-09,Social,South
C01753,2025-01-10,Paid Search,Central
C00308,2025-01-10,Affiliate,Central
C01212,2025-01-10,Paid Search,South
C01606,2025-01-10,Paid Search,Central
C00678,2025-01-10,Paid Search,North
C02833,2025-01-10,Organic,West
C02301,2025-01-10,Paid Search,South
C01255,2025-01-10,Social,South
C03212,2025-01-11,Organic,West
C01241,2025-01-11,Paid Search,West
C01748,2025-01-11,Paid Search,West
C01841,2025-01-11,Paid Search,East
C02624,2025-01-11,Organic,West
C02798,2025-01-11,Paid Search,East
C00270,2025-01-11,Paid Search,Central
C01975,2025-01-11,Social,Central
