order_id,customer_id,order_date,channel,region,category,revenue,cost,returned,delivered_late
O0000001,C00738,2025-01-01,Organic,West,Fashion,225.59,133.32,False,False
O0000002,C00738,2025-01-01,Organic,West,Fashion,806.7,568.76,False,False
O0000003,C00738,2025-01-01,Organic,West,Beauty,344.28,219.0,True,False
O0000004,C00738,2025-01-01,Organic,West,Sports,560.71,284.1,False,False
O0000005,C02290,2025-01-01,Organic,South,Beauty,233.38,128.02,False,False
O0000006,C00738,2025-01-01,Organic,West,Home,504.73,256.16,False,False
O0000007,C02290,2025-01-01,Organic,South,Electronics,652.03,440.23,False,False
O0000008,C00738,2025-01-01,Organic,West,Electronics,1033.71,722.35,False,False
O0000009,C00738,2025-01-01,Organic,West,Home,423.69,234.45,False,False
O0000010,C03696,2025-01-01,Organic,East,Electronics,669.27,384.82,True,False
O0000011,C00738,2025-01-01,Organic,West,Fashion,232.42,166.04,False,False
O0000012,C00738,2025-01-01,Organic,West,Electronics,1073.54,697.86,False,False
O0000013,C01510,2025-01-01,Organic,Central,Home,294.03,149.81,False,False
O0000014,C00738,2025-01-01,Organic,West,Sports,366.07,223.66,False,False
O0000015,C00738,2025-01-01,Organic,West,Sports,224.61,137.29,False,False
O0000016,C00738,2025-01-01,Organic,West,Sports,224.77,153.36,False,False
O0000017,C02135,2025-01-01,Organic,Central,Electronics,1197.37,780.08,False,False
O0000018,C00738,2025-01-01,Organic,West,Sports,462.62,320.45,True,False
O0000019,C00738,2025-01-01,Organic,West,Beauty,327.46,166.92,False,False
O0000020,C00738,2025-01-01,Organic,West,Electronics,541.67,322.03,False,False
O0000021,C01510,2025-01-01,Organic,Central,Home,462.97,292.73,False,False
O0000022,C00738,2025-01-01,Organic,West,Electronics,396.51,216.48,False,False
O0000023,C00738,2025-01-01,Organic,West,Fashion,585.35,353.74,False,False
O0000024,C00738,2025-01-01,Organic,West,Home,429.13,255.06,False,False
O0000025,C00738,2025-01-01,Organic,West,Electronics,1805.94,1013.85,False,True
O0000026,C02290,2025-01-01,Organic,South,Beauty,190.56,129.98,True,False
O0000027,C02290,2025-01-01,Organic,South,Fashion,235.14,136.16,False,True
O0000028,C02290,2025-01-01,Organic,South,Home,715.23,437.07,False,False
O0000029,C02135,2025-01-01,Organic,Central,Sports,268.0,150.07,False,False
O0000030,C01510,2025-01-01,Organic,Central,Fashion,676.35,486.63,False,False
O0000031,C00738,2025-01-01,Paid Search,West,Beauty,176.56,105.96,False,False
O0000032,C02290,2025-01-01,Paid Search,South,Fashion,300.17,190.0,True,False
O0000033,C00738,2025-01-01,Paid Search,West,Electronics,671.32,423.58,False,False
O0000034,C00738,2025-01-01,Paid Search,West,Fashion,439.97,222.49,False,False
O0000035,C00738,2025-01-01,Paid Search,West,Home,1034.57,639.54,False,False
O0000036,C02135,2025-01-01,Paid Search,Central,Electronics,851.97,564.87,False,False
O0000037,C00738,2025-01-01,Paid Search,West,Electronics,977.71,490.71,False,False
O0000038,C00738,2025-01-01,Paid Search,West,Fashion,494.1,304.45,False,False
O0000039,C02135,2025-01-01,Paid Search,Central,Fashion,182.64,124.04,False,False
O0000040,C00738,2025-01-01,Paid Search,West,Electronics,504.47,287.04,False,False
O0000041,C00456,2025-01-01,Paid Search,East,Sports,526.25,357.93,False,False
O0000042,C00738,2025-01-01,Paid Search,West,Electronics,682.86,431.65,True,False
O0000043,C00738,2025-01-01,Paid Search,West,Electronics,2238.39,1391.83,False,False
O0000044,C00738,2025-01-01,Social,West,Home,377.72,193.08,False,False
O0000045,C00738,2025-01-01,Social,West,Fashion,203.28,140.25,False,True
O0000046,C00738,2025-01-01,Social,West,Electronics,739.0,525.41,False,False
