date,channel,sessions,add_to_cart,checkout,purchases
2025-01-01,Organic,507,88,36,30
2025-01-01,Paid Search,402,75,38,13
2025-01-01,Social,396,53,21,16
2025-01-01,Affiliate,235,43,25,8
2025-01-01,Email,317,69,40,12
2025-01-02,Organic,576,118,58,22
2025-01-02,Paid Search,507,85,38,15
2025-01-02,Social,410,59,31,12
2025-01-02,Affiliate,241,32,13,7
2025-01-02,Email,244,57,23,19
2025-01-03,Organic,524,111,63,21
2025-01-03,Paid Search,457,65,28,13
2025-01-03,Social,344,32,18,16
2025-01-03,Affiliate,266,53,24,10
2025-01-03,Email,296,66,30,19
2025-01-04,Organic,543,114,52,12
2025-01-04,Paid Search,404,67,40,12
2025-01-04,Social,367,44,22,17
2025-01-04,Affiliate,247,41,16,8
2025-01-04,Email,317,77,37,15
2025-01-05,Organic,581,104,52,19
2025-01-05,Paid Search,506,82,36,13
2025-01-05,Social,482,74,43,19
2025-01-05,Affiliate,228,48,26,10
2025-01-05,Email,328,60,33,15
2025-01-06,Organic,484,74,36,19
2025-01-06,Paid Search,503,80,42,25
2025-01-06,Social,391,44,16,8
2025-01-06,Affiliate,260,44,20,2
2025-01-06,Email,299,66,25,14
2025-01-07,Organic,453,80,40,18
2025-01-07,Paid Search,489,76,34,15
2025-01-07,Social,487,63,24,15
2025-01-07,Affiliate,244,35,16,11
2025-01-07,Email,313,87,33,17
2025-01-08,Organic,514,93,41,14
2025-01-08,Paid Search,470,78,41,17
2025-01-08,Social,432,60,29,12
2025-01-08,Affiliate,219,35,19,14
2025-01-08,Email,351,74,34,20
2025-01-09,Organic,495,87,39,16
2025-01-09,Paid Search,492,73,27,20
2025-01-09,Social,460,86,39,16
2025-01-09,Affiliate,216,48,21,6
2025-01-09,Email,315,73,29,12
2025-01-10,Organic,481,87,33,15
2025-01-10,Paid Search,430,60,31,7
2025-01-10,Social,407,64,35,19
2025-01-10,Affiliate,234,44,19,11
2025-01-10,Email,351,88,42,20
2025-01-11,Organic,568,105,51,25
2025-01-11,Paid Search,458,60,27,11
2025-01-11,Social,383,58,31,13
2025-01-11,Affiliate,236,39,22,14
2025-01-11,Email,298,70,36,20
2025-01-12,Organic,541,113,53,19
2025-01-12,Paid Search,469,77,40,12
2025-01-12,Social,407,64,32,13
2025-01-12,Affiliate,280,42,26,11
2025-01-12,Email,250,56,25,9
2025-01-13,Organic,565,118,55,24
2025-01-13,Paid Search,494,69,33,20
2025-01-13,Social,457,63,28,12
2025-01-13,Affiliate,227,40,13,10
2025-01-13,Email,348,71,41,17
2025-01-14,Organic,507,103,50,17
2025-01-14,Paid Search,459,78,40,16
2025-01-14,Social,377,52,25,14
2025-01-14,Affiliate,244,41,21,11
2025-01-14,Email,347,80,32,13
2025-01-15,Organic,620,123,58,25
2025-01-15,Paid Search,393,63,33,12
2025-01-15,Social,431,54,29,12
2025-01-15,Affiliate,242,46,27,12
2025-01-15,Email,341,82,35,18
2025-01-16,Organic,488,91,39,22
2025-01-16,Paid Search,476,77,35,19
2025-01-16,Social,423,48,28,14
2025-01-16,Affiliate,267,47,22,6
2025-01-16,Email,287,71,30,16
2025-01-17,Organic,537,109,52,19
2025-01-17,Paid Search,524,72,30,21
2025-01-17,Social,477,66,32,12
2025-01-17,Affiliate,262,60,31,11
2025-01-17,Email,296,63,26,19
2025-01-18,Organic,508,98,44,15
2025-01-18,Paid Search,418,57,29,14
2025-01-18,Social,397,48,25,14
2025-01-18,Affiliate,274,52,23,12
2025-01-18,Email,313,72,34,20
2025-01-19,Organic,481,86,38,13
2025-01-19,Paid Search,507,83,36,18
2025-01-19,Social,380,49,20,7
2025-01-19,Affiliate,222,51,21,6
2025-01-19,Email,320,75,40,15
2025-01-20,Organic,506,97,40,16
2025-01-20,Paid Search,502,71,38,14
2025-01-20,Social,402,46,31,14
2025-01-20,Affiliate,252,37,16,5
2025-01-20,Email,294,61,32,11
2025-01-21,Organic,540,103,51,21
2025-01-21,Paid Search,436,67,34,16
2025-01-21,Social,335,53,19,8
2025-01-21,Affiliate,290,43,21,14
2025-01-21,Email,316,77,44,12
2025-01-22,Organic,546,103,44,17
2025-01-22,Paid Search,533,84,40,17
2025-01-22,Social,383,62,22,13
2025-01-22,Affiliate,252,44,21,9
2025-01-22,Email,349,73,28,18
2025-01-23,Organic,575,122,60,31
2025-01-23,Paid Search,485,83,35,18
2025-01-23,Social,440,56,24,14
2025-01-23,Affiliate,252,50,24,6
2025-01-23,Email,310,73,42,20
2025-01-24,Organic,526,107,39,15
2025-01-24,Paid Search,503,76,44,13
2025-01-24,Social,380,54,27,12
2025-01-24,Affiliate,253,42,20,11
2025-01-24,Email,279,70,33,11
2025-01-25,Organic,550,98,49,27
2025-01-25,Paid Search,440,77,37,13
2025-01-25,Social,447,58,22,19
2025-01-25,Affiliate,274,49,21,11
2025-01-25,Email,285,53,30,7
2025-01-26,Organic,552,93,45,16
2025-01-26,Paid Search,499,73,43,16
2025-01-26,Social,448,59,30,16
2025-01-26,Affiliate,251,47,21,11
2025-01-26,Email,299,73,37,18
2025-01-27,Organic,463,88,42,19
2025-01-27,Paid Search,473,60,22,15
2025-01-27,Social,412,48,20,8
2025-01-27,Affiliate,227,23,14,9
2025-01-27,Email,299,61,33,17
2025-01-28,Organic,468,88,46,36
2025-01-28,Paid Search,442,72,38,17
2025-01-28,Social,390,58,23,8
2025-01-28,Affiliate,264,50,23,8
2025-01-28,Email,326,83,41,13
2025-01-29,Organic,542,122,58,22
2025-01-29,Paid Search,459,66,28,17
2025-01-29,Social,437,60,32,16
2025-01-29,Affiliate,268,47,19,6
2025-01-29,Email,353,95,42,15
2025-01-30,Organic,550,102,51,17
2025-01-30,Paid Search,495,77,39,21
2025-01-30,Social,456,61,25,16
2025-01-30,Affiliate,275,42,14,9
2025-01-30,Email,307,75,34,16
2025-01-31,Organic,568,104,50,25
2025-01-31,Paid Search,479,71,34,13
2025-01-31,Social,449,66,30,10
2025-01-31,Affiliate,247,49,13,6
2025-01-31,Email,331,75,36,15
2025-02-01,Organic,495,95,50,10
2025-02-01,Paid Search,444,72,34,12
2025-02-01,Social,466,55,24,15
2025-02-01,Affiliate,279,57,28,10
2025-02-01,Email,309,79,41,16
2025-02-02,Organic,496,78,41,17
2025-02-02,Paid Search,470,74,35,17
2025-02-02,Social,454,56,24,14
2025-02-02,Affiliate,223,43,17,6
2025-02-02,Email,361,77,39,20
2025-02-03,Organic,535,84,48,25
2025-02-03,Paid Search,455,84,37,21
2025-02-03,Social,430,55,28,7
2025-02-03,Affiliate,236,39,14,5
2025-02-03,Email,301,68,31,15
2025-02-04,Organic,489,105,59,28
2025-02-04,Paid Search,477,65,32,14
2025-02-04,Social,388,49,24,14
2025-02-04,Affiliate,265,54,23,10
2025-02-04,Email,308,54,22,19
2025-02-05,Organic,650,126,63,23
2025-02-05,Paid Search,474,78,45,13
2025-02-05,Social,387,44,25,9
2025-02-05,Affiliate,253,36,18,16
2025-02-05,Email,331,71,37,17
2025-02-06,Organic,546,94,40,20
2025-02-06,Paid Search,532,80,43,14
2025-02-06,Social,456,53,20,11
2025-02-06,Affiliate,250,53,24,9
2025-02-06,Email,305,64,27,21
2025-02-07,Organic,502,97,54,22
2025-02-07,Paid Search,524,73,28,21
2025-02-07,Social,406,68,34,9
2025-02-07,Affiliate,257,41,22,11
2025-02-07,Email,324,78,35,16
2025-02-08,Organic,555,119,53,24
2025-02-08,Paid Search,473,74,35,18
2025-02-08,Social,473,64,26,21
2025-02-08,Affiliate,253,36,20,9
2025-02-08,Email,285,71,38,10
2025-02-09,Organic,544,93,58,18
2025-02-09,Paid Search,531,87,43,20
2025-02-09,Social,474,67,36,15
2025-02-09,Affiliate,274,48,23,5
2025-02-09,Email,324,79,35,18
2025-02-10,Organic,527,98,44,22
2025-02-10,Paid Search,484,82,27,24
2025-02-10,Social,440,62,33,14
2025-02-10,Affiliate,235,35,13,6
2025-02-10,Email,339,72,27,19
2025-02-11,Organic,534,100,46,13
2025-02-11,Paid Search,507,91,46,12
2025-02-11,Social,531,85,42,14
2025-02-11,Affiliate,262,43,23,11
2025-02-11,Email,333,65,29,12
2025-02-12,Organic,579,98,41,18
2025-02-12,Paid Search,556,97,36,21
2025-02-12,Social,444,69,31,10
